Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot10, Male, 1, Car_03, -27.05, 4.48, 4.55, -27.05, -0.6722314, 6.530684, 5.519836, 4.97, 2.2555226, -2.7144774, Abacus_01, -1.78, 0.086, 4.55, -1.780002, -0.3932681, 5.719119, 1.263541, 1.73, 0.5268272, -1.2031728, Ball_01, -51, 3.02, -2.86, -51, 2.992572, -5.059726, 2.199897, 8.25, 2.6061734, -5.6438266
pilot10, Male, 2, Bee_01, -1.78, 3.36, -5.31, -1.78, 0.03787708, -3.259012, 3.904235, 1.73, 2.4007951, 0.6707951, Boat_01, -51, 3.02, 3.09, -51, 1.838595, 4.51444, 1.850607, 8.25, 2.6060773, -5.6439227, Doll_01, -27.05, 0.086, -5.4, -27.05, 2.637497, -2.371337, 3.960169, 4.97, 1.4211141, -3.5488859
pilot10, Male, 3, Basketball_01, -1.78, 2.48, -5.31, -1.780001, 2.345815, -2.079681, 3.233104, 1.73, 1.5839077, -0.1460923, Boomerang_01, -51, 3.02, 3.09, -51, 2.447288, 3.563363, 0.7430156, 8.25, 1.9189447, -6.3310553, Car_02, -27.05, 1.16, 5.94, -27.05, 0.6085435, 3.626748, 2.378075, 4.97, 1.1351179, -3.8348821
pilot10, Male, 4, Bucket_01, -1.78, 0.086, 3.09, -1.780001, 0.7606965, -2.396705, 5.528033, 1.73, 1.6952219, -0.0347781, Ball_02, -51, 4.48, 5.94, -51, 0.4817294, 1.876789, 5.700513, 8.25, 2.2388481, -6.0111519, Bunny_01, -27.05, 0.086, -2.86, -27.05, 2.219029, -3.22096, 2.163355, 4.97, 0.9437172, -4.0262828
pilot10, Male, 5, Car_04, -1.78, 4.48, -2.86, -1.780002, 0.1900518, 6.302444, 10.11702, 1.73, 1.6132076, -0.1167924, Darts_01, -27.05, 3.36, 5.94, -27.05, 1.91469, -3.89305, 9.938702, 4.97, 1.3257648, -3.6442352, Dinosaur_01, -51, 4.48, -5.417, -51, 2.967211, -5.047045, 1.557369, 8.25, 2.0495138, -6.2004862
pilot10, Male, 6, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 1.597664, 3.728195, 3.633172, 4.97, 1.6616511, -3.3083489, Fish_01, -51, 1.16, -5.31, -51, 2.041493, -4.349588, 1.303618, 8.25, 1.5361496, -6.7138504, Doll_03, -1.78, 1.16, 5.94, -1.780001, 0.304181, 0.0380411, 5.963686, 1.73, 1.9223102, 0.1923102
pilot10, Male, 7, Helicopter_01, -1.78, 0.086, -5.36, -1.780002, 1.318655, 4.197402, 9.636564, 1.73, 1.6639175, -0.0660825, Horse_01, -51, 3.36, 5.94, -51, 0.1773884, -6.086888, 12.44086, 8.25, 2.1110603, -6.1389397, Doll_02, -27.05, 1.16, 5.94, -27.05, 0.0252254, 4.425648, 1.892347, 4.97, 1.504272, -3.465728
pilot10, Male, 8, Car_01, -1.78, 2.48, -5.31, -1.780001, 0.2407739, -1.889467, 4.088298, 1.73, 1.5033146, -0.2266854, Plane_01, -51, 0.086, 5.94, -51, 0.443683, 7.836866, 1.930295, 8.25, 1.5972418, -6.6527582, Kite_01, -27.05, 4.48, 3.09, -27.05, 0.4563789, -3.182917, 7.45245, 4.97, 2.1435573, -2.8264427
pilot10, Male, 9, Rocket_01, -51, 0.086, 5.94, -51, 2.003446, -2.35867, 8.517307, 8.25, 1.9346092, -6.3153908, Shield_02, -27.05, 4.48, 4.55, -27.05, 2.016133, 3.018063, 2.901288, 4.97, 1.7581487, -3.2118513, Robot_01, -1.78, 4.48, -2.86, -1.780001, 0.06324768, -2.434748, 4.437177, 1.73, 1.0398502, -0.6901498
pilot10, Male, 10, RollerSkate_01, -1.78, 1.16, 5.94, -1.780001, 0.02520156, -2.384024, 8.401021, 1.73, 2.4780361, 0.7480361, Watergun_01, -27.05, 2.69, -5.4, -27.05, -0.1903563, 4.172029, 9.996009, 4.97, 1.9012519, -3.0687481, RubberDuck_01, -51, 4.48, -2.86, -51, 1.610337, -1.889473, 3.029338, 8.25, 1.0216482, -7.2283518
